Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,يَا مُولِجَ اللَّيْلِ فِيْ النَّهَارِ,O You who merge the night into the day
,وَمُولِجَ النَّهَارِ فِيْ اللَّيْلِ,And merge the day into the night
,وَ مُخْرِجَ الحَيِّ مِنَ المَيِّتِ,And bring forth the living from the dead
,وَمُخْرِجَ المَيِّتِ مِنَ الحَيِّ,And bring forth the dead from the living
,يَا رَازِقَ مَنْ يَشَاءُ بِغَيْرِ حِسَابٍ,O Provider of sustenance to whomever You wish without measure
,يَا اَللَّهُ يَا رَحْمَانُ,"O Allah, O Most Beneficent"
,يَا اَللَّهُ يَا رَحِيمُ,"O Allah, O Most Merciful"
,يَا اَللَّهُ يَا اَللَّهُ يَا اَللَّهُ,"O Allah, O Allah, O Allah"
,لَكَ الْاَسْمَاءُ الحُسْنَى,To You belong the most beautiful names
,وَالْاَمْثَالُ العُلْيَا,And the highest examples
,وَالكِبْرِيَاءُ وَالْآلاَءُ,And the greatness and bounties
,أَسْأَلُكَ أَنْ تُصَلِّيَ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,I ask You to send blessings upon Muhammad and the family of Muhammad
,وَأَنْ تَجْعَلَ اسْمِيْ فِيْ هٰذِهِ اللَّيْلَةِ فِيْ السُّعَدَاءِ,And to place my name on this night among the fortunate ones
,وَرُوحِيْ مَعَ الشُّهَدَاءِ,And my soul among the martyrs
,وَإِحْسَانِيْ فِيْ عِلِّيِّينَ,And my good deeds in the highest places
,وَإِسَاءَتِيْ مَغْفُورَةً,And my misdeeds forgiven
,وَأَنْ تَهَبَ لِيْ يَقِينًا تُبَاشِرُ بِهِ قَلْبِي,And to grant me certainty with which my heart is filled
,وَإِيمَانًا يُذْهِبُ الشَّكَّ عَنِّيْ,And faith that removes doubt from me
,وَتُرْضِيَنِيْ بِمَا قَسَمْتَ لِي,And make me content with what You have allocated for me
,وَ آتِنَا فِيْ الدُّنْيَا حَسَنَةً,And grant us good in this world
,وَفِيْ الْآخِرَةِ حَسَنَةً,And good in the Hereafter
,وَقِنَا عَذَابَ النَّارِ الحَرِيقِ,And protect us from the punishment of the burning fire
,وَارْزُقْنِيْ فِيهَا ذِكْرَكَ وَشُكْرَكَ وَالرَّغْبَةَ إِلَيْكَ,"And grant me in it Your remembrance, Your gratitude, and desire towards You"
,وَالْاِنَابَةَ وَالتَّوْفِيقَ لِمَا وَفَّقْتَ لَهُ مُحَمَّدًا وَ آلِ مُحَمَّدٍ عَلَيْهِ وَعَلَيْهِمُ السَّلاَمُ,"And repentance and success in what You granted Muhammad and the family of Muhammad, peace be upon him and them"
