Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,يَا ذَا الْمَنِّ وَالطَّوْلِ,O Possessor of favor and might
,يَا ذَا الْجُودِ,O Possessor of generosity
,يَا مُصْطَفِيَ مُحَمَّدٍ وَنَاصِرَهُ,O One who chose Muhammad and supported him
,صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,Send blessings upon Muhammad and the family of Muhammad
,وَاغْفِرْ لِيْ كُلَّ ذَنْبٍ اَحْصَيْتَهُ,And forgive me for every sin that You have enumerated
,وَهُوَ عِنْدَكَ فِيْ كِتَابٍ مُبِينٍ,And it is with You in a clear book
,,
,أَتُوبُ إِلَى اللَّهِ,I repent to Allah
,,
,,
