Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the Name of Allah, the Most Beneficent, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,اَللَّهُمَّ إِنِّيْ اَمْسَيْتُ لَكَ عَبْدًا دَاخِرًا,"O Allah, I have come to this evening as Your humble servant"
,لَا اَمْلِكُ لِنَفْسِيْ نَفْعًا وَلَا ضَرًّا,I do not possess any power to benefit or harm myself
,وَلَا اَصْرِفُ عَنْهَا سُوْءً,Nor can I avert any evil from myself
,اَشْهَدُ بِذٰلِكَ عَلَى نَفْسِي,I bear witness to this against myself
,وَاَعْتَرِفُ لَكَ بِضَعْفِ قُوَّتِيْ وَقِلَّةِ حِيْلَتِي,And I confess to You my weak strength and limited resources
,فَصَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,So send blessings upon Muhammad and the family of Muhammad
,وَاَنْجِزْ لِيْ مَا وَعَدْتَنِي,And fulfill for me what You have promised me
,وَجَمِيْعَ الْمُؤْمِنِيْنَ وَالْمُؤْمِنَاتِ,And all believing men and believing women
,مِنَ الْمَغْفِرَةِ فِيْ هٰذِهِ اللَّيْلَةِ,Of forgiveness on this night
,وَاَتْمِمْ عَلَيَّ مَا آتَيْتَنِي,And complete upon me what You have granted me
,فَإِنِّيْ عَبْدُكَ الْمِسْكِيْنُ الْمُسْتَكِيْنُ,For I am Your poor and humble servant
,اَلضَّعِيْفُ الْفَقِيْرُ الْمَهِيْنُ,"The weak, the needy, the lowly"
,اَللَّهُمَّ لَا تَجْعَلْنِيْ نَاسِيًا لِذِكْرِكَ فِيْمَا اَوْلَيْتَنِي,"O Allah, do not make me forgetful of Your remembrance in what You have entrusted me with"
,وَلَا غَافِلًا لِإِحْسَانِكَ فِيْمَا اَعْطَيْتَنِي,Nor heedless of Your favors in what You have given me
,وَلَا آيِسًا مِنْ إِجَابَتِكَ وَإِنْ اَبْطَأَتْ عَنِّي,Nor despairing of Your response even if it is delayed from me
,فِيْ سَرَّاءِ اَوْ ضَرَّاءِ,In ease or hardship
,اَوْ شِدَّةٍ اَوْ رَخَاءٍ,In difficulty or comfort
,اَوْ عَافِيَةٍ اَوْ بَلاءٍ,In well-being or affliction
,اَوْ بُؤْسٍ اَوْ نَعْمَاءَ,In misery or blessing
,إِنَّكَ سَمِيْعُ الدُّعَاءِ,"Indeed, You are the Hearer of supplications"
