Line ID,Original,Translation
,US QADAR GIRTA RAHA,He kept falling again and again.
,"Jitne pathar shaam ki,rahu mai zainab ko lage,\nus qadar girta raha naize se sar abbas ka","For every stone that struck Zainab on the roads of Sham,\nAbbas's head fell from the spear just as many times."
,"Khaakh par Zainab giri, jab bhi ridhaee mang ke,","Whenever Zainab fell to the ground while pleading for her veil,"
,"Ashiqiya kehte the hass kar, hamne qaate hai wo haath\nJo mitate the tumhare nakhshe paa ko saath saath\nTanz ke ye teer Bhi zainab ke jab dil par lage","The wicked laughed and said, 'We severed those hands\nThat used to wipe away your footprints as you walked.'\nThese taunts pierced Zainab's heart like arrows."
,"Jiski khake paa ko ghazi, ne tha parde mai rakha\nBaade ghazi ke wo zainab hogayi jab be rida\nShaam ki janib qadam  zainab ke jab bardhne lage","The one whose footprints Ghazi had always shielded with honour,\nAfter Ghazi, that same Zainab was left without her veil.\nAs her steps turned towards Sham,"
,"Karbala ki khaakh par do, bazu uth uth Kar ghire\nLash tardhpi alqama par, bhi sakina keliye\nAur tamache jis qadar, bachi ko lagte hi rahe","Upon the sands of Karbala, the two severed arms kept falling.\nThe body by Alqama still writhed for Sakina.\nAnd the little girl continued to be struck with slap after slap."
,"Zakhm khud hi pardh rahethe , marsiya zanjeer par\nShaam ka qaidi magar rota, raha tasheer par\nJis qadr bazaar mai, sajjad ke ansu gire","The wounds themselves recited elegies beneath the chains.\nYet the prisoner of Sham continued to weep during the parade.\nAs Sajjad's tears fell throughout the marketplace,"
,"Noke neze par tha quran, berida tafseer thi\nWarise zahra ki saare shaam mai tasheer thi\nJis qadar tadhpa waha*2 sajjad parde ke liye","The Qur'an was upon the spear, and its unveiled tafsir walked below.\nThe heir of Zahra was paraded throughout Sham.\nHow deeply Sajjad suffered there for the sake of the veil."
,"Khoon ke ansu baha Kar, bole wo qaidi imam\nSayyeda zainab kaha , aur haye kaha bazaare shaam\nKham qamar ko thaam kar, jab ye kaha sajjad ne","Shedding tears of blood, the imprisoned Imam cried:\n'Where is Lady Zainab, and where is the marketplace of Sham?'\nHolding his bent back, Sajjad spoke these words."
,Kese likhu mai qayamat jaisa wo manzar sahaab\nShaam ke bazaar mai jab royi binte buturab\nJis qadar bi sayyada ne gham sahe rote huwa,"How can I describe that scene, like the Day of Judgement?\nWhen the daughter of Abu Turab wept in the marketplace of Sham.\nAs much as the Lady endured sorrow, she wept."
