"line id","urdu transliteration","english translation text"
"[n08:0]","MERE GHAZI KAHAN HO","Where is my Ghazi?"
"[n08:1]","TERI JAGEER SE CHAL PADA QAFELA
AY MERE BAWAFA HAI BEHAN BERIDA
MERE GHAZI KAHAN HO","From your domain, the caravan has departed.
O my loyal one, your sister now stands unveiled.
Where is my Ghazi?"
"[n08:2]","TUJHKO DEKHE BINA CHAIN AATA NAHI
NOKE NAIZA PE SAR TERA MILTA NAHI
MAI ZIYARAT KAROON KIS TARHA YE BATA","Without being able to see you, my heart finds no peace.
Your head upon the spear is nowhere to be found.
Tell me, how am I to perform your ziyarat?"
"[n08:3]","LAAJ RAKHLO BEHAN KI BARADAR MERE
KHAAKE MAQTAL MERE SAR KA PARDA BANE
HUKM DEDO ZARA MUNTAZIR HAI HAWA","Protect your sister's honour, O my brother.
Let the dust of the battlefield become a veil for my head.
Give but one command—the wind awaits your order."
"[n08:4]","TERE BAAZU MUJHE RAASTE MAY MILAY
MAINE CHADAR SAMAJH KAR WO SAR PAR RAKHE
BAZOON SE TERA POOCHTI HOON PATA","Your arms I found upon the road.
I placed them upon my head as though they were my veil.
From your severed arms I ask for news of you."
"[n08:5]","DEKH KAR BEHAN KO DASHT MAY NANGE SAR
KYA HAYA AAGAYI CHUP GAYE HO KIDHAR
KHUD CHALI AAUNGI TUM BATADO ZARA","Seeing your sister without a cover over her head in the desert,
Did modesty overcome you, causing you to hide?
Tell me where you are, and I shall come myself."
"[n08:6]","MAINE BACHPAN MAY LORI SUNAYI TUJHE
MAINE CHALNA SIKHAYA THA BHAI TUJHE
RAAHE PURKHAAR PAR MUJHKO CHALNA SIKHA","In childhood, I sang lullabies to you.
Brother, it was I who taught you how to walk.
Now teach me how to walk this path filled with thorns."
"[n08:7]","WO TERI LAADLI WO SAKINA TERI
CHALTE NAAQE SE JAB KHAAK PAR GIR GAYI
DEKHTI REHGAYI WO SUYE ALQAMA","That beloved girl of yours, your Sakina,
When she fell from the moving camel onto the earth,
She kept looking towards the river."
"[n08:8]","JO BANE MURTAZA MAI WO EHSAAS HOON
BERIDA BIBIYON KI MAI ABBAS HOON
TUM MERI AAS THAY AY MERE BAWAFA","I am the reflection of that feeling which made you Abbas.
I am the Abbas of these unveiled ladies.
You were my hope, O my loyal one."
"[n08:9]","WAARISE AMBIYA KI MAI HAMSHEER HOON
AYNE HAIDER HOON QURAN KI TAFSEER HOON
KOI YAWAR NAHI KISKO DOON MAI SADA","I am the sister of the heir of the Prophets.
I am the mirror of Haider, the tafsir of the Qur'an.
There is no helper left—whom shall I call upon?"
