"line id","urdu transliteration","english translation text"
"[ashura:0]","PATTHAR HATA KE LASH SE, ZAINAB NE DI SADA
KYA TUM MERE HUSSAIN HO","REMOVING STONES FROM HIS BLESSED BODY, ZAINAB CALLED OUT
ARE YOU MY HUSSAIN?"
"[ashura:1]","KAISE PADE HAI JISM KE,
TUKDE JUDA JUDA,
KYA TUM MERE HUSSAIN HO,
PATTHAR HATA KE LASH SE, ZAINAB NE DI SADA
KYA TUM MERE HUSSAIN HO","HOW LIE THE PIECES OF HIS BLESSED BODY,
SEPARATED, ONE FROM ANOTHER?
ARE YOU MY HUSSAIN?
REMOVING STONES FROM HIS BLESSED BODY, ZAINAB CALLED OUT
ARE YOU MY HUSSAIN?"
"[ashura:2]","HAYE HAYE MERE GHAREEB KA, KYA HAAL KAR DIYA
GHODO'N SE LASHA DASHT MEIN, PAMAAL KAR DIYA
PEHCHANU KIS TARAH SE, BADAN SE HAI SAR JUDA
KYA TUM MERE HUSSAIN HO","ALAS, ALAS, WHAT HAVE THEY DONE TO MY HELPLESS ONE?
THEY TRAMPLED HIS BLESSED BODY WITH HORSES IN THE DESERT
HOW CAN I RECOGNISE YOU, WHEN THE HEAD IS SEVERED FROM HIS BLESSED BODY?
ARE YOU MY HUSSAIN?"
"[ashura:3]","PATTHAR HATA KE LASH SE, ZAINAB NE DI SADA
KYA TUM MERE HUSSAIN HO","REMOVING STONES FROM HIS BLESSED BODY, ZAINAB CALLED OUT
ARE YOU MY HUSSAIN?"
"[ashura:4]","PEHCHAN LUN GI MAI TUMHE, AWAAZ MUJH KO DO
DAM TODTE JO DEKHA HAI, KADYAL JAWAAN KO
ANKHON MAI AB BEHEN KI, UJALA NAHI RAHA
KYA TUM MERE HUSSAIN HO","I WILL RECOGNISE YOU; GIVE ME YOUR VOICE
I HAVE SEEN THAT STALWART YOUTH BREATHING HIS LAST
NO LIGHT REMAINS NOW IN YOUR SISTER'S EYES
ARE YOU MY HUSSAIN?"
"[ashura:5]","PATTHAR HATA KE LASH SE, ZAINAB NE DI SADA
KYA TUM MERE HUSSAIN HO","REMOVING STONES FROM HIS BLESSED BODY, ZAINAB CALLED OUT
ARE YOU MY HUSSAIN?"
"[ashura:6]","PEHCHANNA TUMHARE LIYE, BHI KATHAN HOWA
DEKHA HAI PEHLI BAAR JO, ZAINAB KO BERIDA
AATI HAI SHARM JALD, BATA DO MUJHE ZARA
KYA TUM MERE HUSSAIN HO","IT HAS BECOME HARD EVEN FOR YOU TO RECOGNISE ME
FOR THE FIRST TIME, YOU HAVE SEEN ZAINAB WITHOUT HER VEIL
I AM ASHAMED; QUICKLY, TELL ME THIS MUCH
ARE YOU MY HUSSAIN?"
"[ashura:7]","PATTHAR HATA KE LASH SE, ZAINAB NE DI SADA
KYA TUM MERE HUSSAIN HO","REMOVING STONES FROM HIS BLESSED BODY, ZAINAB CALLED OUT
ARE YOU MY HUSSAIN?"
"[ashura:8]","KARTA RAHA HAI ZIBHA KI, KOSHISH KAHA'N KAHA'N
KHANJAR PE HAI KATI HUI, GARDAN PE BHI NISHA'N
KAATA HAI KIS TARAH SE, SITAMGAAR NE GALAA
KYA TUM MERE HUSSAIN HO","WHERE, WHERE DID HE KEEP TRYING TO SLAUGHTER YOU?
THE DAGGER IS MARKED; YOUR SEVERED NECK BEARS THE SIGNS
HOW DID THE TYRANT CUT YOUR THROAT?
ARE YOU MY HUSSAIN?"
"[ashura:9]","PATTHAR HATA KE LASH SE, ZAINAB NE DI SADA
KYA TUM MERE HUSSAIN HO","REMOVING STONES FROM HIS BLESSED BODY, ZAINAB CALLED OUT
ARE YOU MY HUSSAIN?"
"[ashura:10]","AHISTA SE JAWAB DO, HAI SATH US KE MAA
KYA AB TUMHARE PAAS HAI, MASOOM BE ZUBA'N
NANNHA SA LASHA KIS KA YE, SEENE PE HAI RAKHA
KIYA TUM MERE HUSSAIN HO","ANSWER SOFTLY; HIS MOTHER IS WITH HIM
IS THE INNOCENT, SPEECHLESS ONE NOW THERE WITH YOU?
WHOSE TINY BLESSED BODY IS THIS, RESTING ON YOUR CHEST?
ARE YOU MY HUSSAIN?"
"[ashura:11]","PATTHAR HATA KE LASH SE, ZAINAB NE DI SADA
KYA TUM MERE HUSSAIN HO","REMOVING STONES FROM HIS BLESSED BODY, ZAINAB CALLED OUT
ARE YOU MY HUSSAIN?"
"[ashura:12]","DEKHO BANDHI HAI HATHO'N MEIN, MERE BHI RASSIYA
AB AUR LO BEHEN KI NA, GHURBAT KA IMTEHA'N
KUCH TO JAWAB DO MUJHE, SUGHRA KA WASTA
KYA TUM MERE HUSSAIN HO","LOOK, ROPES ARE TIED AROUND MY HANDS TOO
DO NOT TEST YOUR SISTER'S HELPLESSNESS ANY FURTHER
ANSWER ME SOMETHING, FOR SUGHRA'S SAKE
ARE YOU MY HUSSAIN?"
"[ashura:13]","PATTHAR HATA KE LASH SE, ZAINAB NE DI SADA
KYA TUM MERE HUSSAIN HO","REMOVING STONES FROM HIS BLESSED BODY, ZAINAB CALLED OUT
ARE YOU MY HUSSAIN?"
