"line id","urdu transliteration","english translation text"
"[n02:0]","Akbar tumhe maloom hai kya maang rahe ho
Tum baap se marne ki riza maang rahe ho","Akbar, do you realise what you are asking for?
You are asking your father for permission to die."
"[n02:1]","Is aalam e ghurbat mein tumhe jaane du kaise
Is dashte musibat mein tumhe jaane du kaise
Is waqt e qayamat mein tumhe jaane du kaise
Ay laal jo tum izne wigha maang rahe ho
Tum baap se marne ki riza maang rahe ho","How can I let you go in this state of absolute helplessness and exile?
How can I let you go into this desert of calamity?
How can I let you go at this moment, which feels like doomsday itself?
O my beloved child, you are asking for permission to go to war,
You are asking your father for permission to die."
"[n02:2]","Akbar tumhe maloom hai kya maang rahe ho
Tum baap se marne ki riza maang rahe ho","Akbar, do you realise what you are asking for?
You are asking your father for permission to die."
"[n02:3]","Kya guzregi is baap ke dil par nahi socha
Tu ne ye meri jaan Ali Akbar nahi socha
Mar jaunga mai tujhse bichad kar nahi socha
Tum mujhse zaeefi ka asa maang rahe ho
Tum baap se marne ki riza maang rahe ho","Did you not think about what your father's heart will go through?
You did not consider this, O Ali Akbar, my very life!
Did you not think that I will die from the grief of separating from you?
You are asking me to hand over the walking stick (the support) of my old age,
You are asking your father for permission to die."
"[n02:4]","Akbar tumhe maloom hai kya maang rahe ho
Tum baap se marne ki riza maang rahe ho","Akbar, do you realise what you are asking for?
You are asking your father for permission to die."
"[n02:5]","Dil rota hai nazron se agar door ho beta
Kis tarha judaai teri manzoor ho beta
Tum hi meri aankhein ho mera noor ho beta
Mujhse meri aankhon ki ziya maang rahe ho
Tum baap se marne ki riza maang rahe ho","My heart weeps if you wander even slightly out of my sight, my son.
How can I ever accept being permanently separated from you, my son?
You alone are my eyes and the light of my life, my son.
By leaving, you are asking me to give up the very sight of my eyes,
You are asking your father for permission to die."
"[n02:6]","Akbar tumhe maloom hai kya maang rahe ho
Tum baap se marne ki riza maang rahe ho","Akbar, do you realise what you are asking for?
You are asking your father for permission to die."
"[n02:7]","Dunya se gaya jis ghadi mehboob khuda ka
Nana ki ziyarat ko tadapta tha nawasa
Ay laal tujhe isliye khaaliq se tha maanga
Maqbool hui meri dua maang rahe ho
Tum baap se marne ki riza maang rahe ho","The moment the Beloved of God (Prophet Muhammad SAW) departed from this world,
His grandson (Hussain) constantly yearned to see his grandfather again.
O my son, because you resemble him, I begged the Creator to grant me a son like you.
Now, you are asking to take away the very blessing that was granted through my accepted prayers.
You are asking your father for permission to die."
"[n02:8]","Akbar tumhe maloom hai kya maang rahe ho
Tum baap se marne ki riza maang rahe ho","Akbar, do you realise what you are asking for?
You are asking your father for permission to die."
"[n02:9]","Islam pe khud apna lahoo rann mein bahao
Sine pe sina shaan se maidaan mein khaao
Tasweer payambar ki tahe khaak milao
Kya is liye marne ki riza maang rahe ho
Tum baap se marne ki riza maang rahe ho","Go and spill your own blood in the battlefield for the sake of Islam.
To bear a spear in your chest with pride out on the plains.
To allow this perfect reflection of the Prophet to be buried under the dust.
Is this the purpose for which you are asking permission to die?
You are asking your father for permission to die."
"[n02:10]","Akbar tumhe maloom hai kya maang rahe ho
Tum baap se marne ki riza maang rahe ho","Akbar, do you realise what you are asking for?
You are asking your father for permission to die."
"[n02:11]","Ek roz tujhe aan ke manga tha phuphi ne
Atthara baras naazon se paala tha phuphi ne
Beton se bhi zyada tumhe chaha tha phuphi ne
Ehsaan jo zainab ne kiya maang rahe ho
Tum baap se marne ki riza maang rahe ho","There was a day when your aunt (Bibi Zainab) came and prayed specifically to have you.
For eighteen years, she raised you with utmost care, love, and affection.
She loved you even more than her own sons.
Are you asking to take away the debt of love and favours that Zainab bestowed upon you?
You are asking your own father for permission to go and die."
"[n02:12]","Akbar tumhe maloom hai kya maang rahe ho
Tum baap se marne ki riza maang rahe ho","Akbar, do you realise what you are asking for?
You are asking your father for permission to die."
