"line id","urdu transliteration","english translation text"
"[n06:0]","HUSSAYN SHAHEED AS SHAHEED AS SHAHEED AL HUSSAYN ","Hussain is martyred, martyred, martyred—Al-Hussain."
"[n06:1]","Dohai dohai khudara dohai, Ye dashte bala me hai kesi tabahi bahaya hai kisne ye khoone mohd, qayamat ye dhai hai kisne ilaahi jawano buzurgo ko maara gaya hai, shahido me shamil hai nanha sipahi    ","Alas, alas, O Lord, alas.
What devastation is this upon the plains of Karbala?
Who has shed the blood of Muhammad's family?
Who has brought about such a calamity, O Lord?
The young and the old have all been slain.
Among the martyrs is even a tiny soldier."
"[n06:2]","HUSSAYN AL GHAREEB AL GHAREEB AL HUSSAYN","Hussain, the lonely one.
The lonely one, Al-Hussain."
"[n06:3]","SALAAMS ON THE HEAD OF MY MOLA HUSSAYN SALAAMS ON THE LIPS OF MY BLESSED HUSSAYN 
FOR DAYS IN THE DESERT – YOUR BODY REMAINED - WITH THOUSANDS OF ARROWS –YOUR SHROUD THEY BECAME 
AND ON ARBAEEN WHERE THE MILLIONS WILL PRAY THE GRIEF AND THE MOURNING – FOR YOU YA HUSSAYN",""
"[n06:4]","HUSSAYN AL GHAREEB AL GHAREEB AL HUSSAYN",""
"[n06:5]","THE SCREAMS OF THE CHILDREN -THIRSTY FOR WATER -THE DUTY WAS SENT -TO ABBAS OUR SAVIOUR 
THE LION OF GOD COULD – BE SEEN RIDING FASTER 
TO REACH AL FURAT – AND TO PLEASE HIS SAKINA 
BUT HOW DOES HE FALL-FROM THE HORSE, WITH NO HANDS 
THE FLAG OF ISLAM – LAYING BARE ON THE SAND",""
"[n06:6]","HUSSAYN AL GHAREEB AL GHAREEB AL HUSSAYN",""
"[n06:7]","A LADY WAS SEEN- PEERING OUT FROM THE TENTS 
A CRY FROM THE HEAVENS – THAT ZAHRA PRESENTS
OH SHIMR OH SHIMR- WHY ON HIS CHEST? 
THE SWORD STAINED IN BLOOD – WAS HUSSAYN’S FINAL TEST 
HUSSAYN TO YOUR MOTHER- ITS TIME TO ASCEND - YOUR TRIALS IN KARBALA- HAVE COME TO AN END ",""
"[n06:8]","HUSSAYN AL GHAREEB AL GHAREEB AL HUSSAYN",""
"[n06:9]","SAKINA WOULD CRY EVERY NIGHT FOR HER FATHER - AND ZAINAB WOULD CRADLE HUSSAYN’S LITTLE DAUGHTER 
BUT WHEN THEY PRESENTED HIS HEAD ON A PLATTER - SAKINA COULD NOT BEAR - TO LIVE ANY LONGER 
BUT NO ONE COULD COMFORT OR SOOTHE YOUNG SAKINA 
SHE DIED IN THE PRISON WITH ZAINAB BESIDE HER",""
"[n06:10]","HUSSAYN AL GHAREEB AL GHAREEB AL HUSSAYN",""
"[n06:11]","THE FIRE, THE BURNING, THE TENTS UP IN FLAMES 
O’ ZAINAB PROTECT IMAM ALI BIN HUSSAYN 
THE SOLDIERS OF YAZID WANT TO BEAT US WITH CHAINS 
THE WOMEN AND CHILDREN ARE CRYING IN VAIN 
O’ BABA ALI PLEASE COME BACK AND DEFEND US 
YOUR CHILDREN ARE WAITING FOR YOU TO RETURN",""
