"line id","urdu transliteration","english translation text"
"[n09:0]","BARBAAD HON NA DASHT MEN, YA RAB CHAMAN KOI","May no garden ever be destroyed in a barren desert, O Lord."
"[n09:1]","LAASHON PE LAASHE DEKHE NA, YUN BE WATAN KOI","May no stranger ever witness, Bodies lying upon bodies."
"[n09:2]","MAZLUM-E HUSEIN PAR, GIRYAAN HAI QAAENAAT,
SHABBIR SAA HUWAA NA GHARIBUL WATAN KOI","For the oppressed Hussain, all of creation weeps.
Never was there another exile Like Shabbir."
"[n09:3]","BARBAAD HON NA DASHT MEN, YA RAB CHAMAN KOI","May no garden ever be destroyed in a barren desert, O Lord."
"[n09:4]","KEH-DE KOI ZAMIN SE NIGAL, LE FURAAT KO,
SAAHIL PE TIN DIN SE HAI TASHNAA DAHAN KOI","Let someone command the earth to swallow up the Euphrates.
For upon its banks stands one
Whose lips have been thirsty for three days."
"[n09:5]","BARBAAD HON NA DASHT MEN, YA RAB CHAMAN KOI","May no garden ever be destroyed in a barren desert, O Lord."
"[n09:6]","ASGHER KE MUNH KO CHUM KE, KHUN RO-DIYE HUSEIN,
YAAD AA-GAYI SAGHIR KI BICHHDI BAHAN KOI","Kissing Asghar upon the face, Hussain wept tears of blood.
He remembered
A little sister left behind in separation."
"[n09:7]","BARBAAD HON NA DASHT MEN, YA RAB CHAMAN KOI","May no garden ever be destroyed in a barren desert, O Lord."
"[n09:8]","BARCHHI KAA PHAL KALE-JE MEN, PAIWAST JAB HUWAA,
TADPAA SULAGTI RET PAR GUL PAIRAHAN KOI","When the spearhead pierced his chest,
A flower-clad youth writhed
Upon the burning sands."
"[n09:9]","BARBAAD HON NA DASHT MEN, YA RAB CHAMAN KOI","May no garden ever be destroyed in a barren desert, O Lord."
"[n09:10]","LAASHON PE LAASHE DEKHE NA, YUN BE WATAN KOI","May no stranger ever witness
Bodies lying upon bodies."
