Line id,Arabic text,Translation
,بِسْمِ اللَّـهِ الرَّحْمَـٰنِ الرَّحِيمِ,"In the name of Allah, the Most Compassionate, the Most Merciful"
,اَللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَ آلِ مُحَمَّدٍ,"O Allah, send blessings upon Muhammad and the family of Muhammad"
,يَا مَنْ أَرْجُوهُ لِكُلِّ خَيْرٍ,O He whom I hope for in every good
,وَ آمَنُ سَخَطَهُ عِنْدَ كُلِّ شَرٍّ,And I am secure from His anger at every evil
,يَا مَنْ يُعْطِيْ الْكَثِيرَ بِالْقَلِيلِ,O He who gives much in return for little
,يَا مَنْ يُعْطِيْ مَنْ سَأَلَهُ,O He who gives to those who ask Him
,يَا مَنْ يُعْطِيْ مَنْ لَمْ يَسْأَلْهُ وَمَنْ لَمْ يَعْرِفْهُ,O He who gives to those who do not ask Him and do not know Him
,تَحَنُّنًا مِنْهُ وَرَحْمَةً,Out of His tenderness and mercy
,أَعْطِنِيْ بِمَسْأَلَتِيْ إِيَّاكَ جَمِيعَ خَيْرِ الدُّنْيَا,"Grant me, by my asking You, all the good of this world"
,وَجَمِيعَ خَيْرِ الْآخِرَةِ,And all the good of the Hereafter
,وَاصْرِفْ عَنِّيْ بِمَسْأَلَتِيْ إِيَّاكَ,"And avert from me, by my asking You"
,جَمِيعَ شَرِّ الدُّنْيَا وَشَرِّ الْآخِرَةِ,All the evil of this world and the evil of the Hereafter
,فَإِنَّهُ غَيْرُ مَنْقُوصٍ مَا أَعْطَيْتَ,For indeed what You give is never diminished
,وَزِدْنِيْ مِنْ فَضْلِكَ يَا كَرِيمُ,"And increase me from Your bounty, O Generous One"
,,
,يَا ذَا الْجَلالِ وَالْاِكْرَامِ,O Possessor of Majesty and Honor
,يَا ذَا النَّعْمَاءِ وَالْجُودِ,O Possessor of Blessings and Generosity
,يَا ذَا الْمَنِّ وَالطَّوْلِ,O Possessor of Favor and Power
,حَرِّمْ شَيْبَتِيْ عَلَى النَّارِ,Forbid my gray hair (old age) from the Fire
